;buyer;count;;
187;EVA'S PARLEY; COMMONWEALTH OFFICE;150;
188;Fam moberg;150;;
189;FILMSTADEN AB;150;;
190;FKASSA;148;;
191;Flixbus;148;;
192;FLUGGER AB S027;148;;
193;Flyttsaker;147;;
194;FLÄKTPLATTA;146;;
195;FORDONSSKATT TRANSPORTSTYRELSEN; SAFETY EXECUTIVE;145;
196;FOTBOLL FREJ;145;;
197;FREDRIK MOBERG;142;;
198;Försenat Grattis och God Jul;141;;
199;GOD JUL;141;;
200;GODISHUSET;140;;
201;Golv;140;;
202;GOOGLE*GOOGLE;139;;
203;GOTEBORGS GODISAFFAR;139;;
204;GP.SE;139;;
205;GRENNAS BISTRO AB;137;;
206;GULF;136;;
207;Gustafs kalaskonto;135;;
208;GYLLENE KORVEN; QUADRANT HOUSING TRUST LIMITED;134;
209;HALLON.SE;133;;
210;HARVEST BY MANNERSTROM;132;;
211;HBO Nordic AB;132;;
212;HEMGLASS GOTEBORG;132;;
213;HEMKÖP;132;;
214;HERTZ;131;;
215;HERTZ 00409 GOTEBORG;131;;
216;HERTZ SWEDEN FRANCHISE;129;;
217;HEYNOW.AI;129;;
218;HM SE0249;128;;
219;HÖÖKS HÄSTSPORT;128;;
220;ICA;128;;
221;ICA KVANTUM FROLUNDA;128;;
222;ICA NARA KRYSSET VIRS;127;;
223;ICA NARA KRYSSET VIRS;127;;
224;idrottsrabatten Freja Moberg;127;;
225;IKANO BANK AB - PREEM;126;;
226;IKEA-KALLERED;126;;
227;INET;125;;
228;INGO ASKIM SISJON;123;;
229;INTERSPORT GOTE;123;;
230;JARVSOBACKEN;123;;
231;JOHN SCOTT'S;123;;
232;Jord och gödsel;123;;
233;JULA AB; East Yorkshire Hospitals Nhs Trust;122;
234;JULKLAPPAR AMAZON;122;;
235;JULKLAPPAR BOKUS;121;;
236;Julklappar Rolf;121;;
237;Jysk Vetlanda;121;;
238;Järnboden;119;;
239;K-RAUTA;119;;
240;K*Apotea AB; SOMERSET FIRE &amp; RESCUE SERVICE;117
241;K*Bokus AB;116;;
242;K*Coop.se;116;;
243;K*Elgiganten;115;;
244;K*Ian & Burt; SUPPORT;114;
245;K*Lensway BV;114;;
246;K*Smartphoto;113;;
247;K*Tidningsku;109;;
248;KAPPAHL 142;109;;
249;KD APOTEK;109;;
250;KICKS V FROELUNDA;109;;
251;KJELL & CO 51;108;;
252;KRY.SE;108;;
253;Kylväska;107;;
254;Lakan;107;;
255;LIDL;106;;
256;LIFE SISJON;106;;
257;LINDEX/39;106;;
258;Lister;105;;
259;LJUNGSTROMS KOK;105;;
260;LLOYDSAPOTEK;105;;
261;LLOYDSAPOTEK102;104;;
262;Lön;S   ISS   CORSHAM;104;
263;Mar Oskarshamn;104;;
264;MAT;104;;
265;Mat Virserum;104;;
266;MAT;104;;
267;MAXI;103;;
268;MAXI ICA STORMARKNAD O;101;;
269;MCD;101;;
270;MCD 97 - BORAS;101;;
271;MCD ULRICEHAMN; HOVE CITY COUNCIL;100;
272;MCDONALD´S;99;;
273;MCDONALD´S LAND;99;;
274;MCDONALDS;99;;
275;MEDIA MARKT;98;;
276;MEKONOMENTORPAV;98;;
277;MICROSOFT*MICROSOFT 36;98;;
278;Microsoft*Office 365 Pers;98;;
279;Microsoft*Store;97;;
280;Mobilskal Gustaf;HPP);97;
281;MOBL BARNEN; KNOWSLEY TEACHING HOSPITALS NHS TRUST;97;
282;MR GATSBY PIZZERIA;97;;
283;MYCASE-PODRUZNICA ZAGR;96;;
284;MYSKJE MACKEN;95;;
285;NARA DEJ VETLANDA;95;;
286;NETFLIX;94;;
287;NETFLIX.COM;93;;
288;NETFLIX.COM;93;;
289;NETS*collagefoto.se;93;;
290;Nota Harvest by Mannerström;93;;
291;NRG PIZZA 225;92;;
292;NYA*Toalett;92;;
293;OKQ8;92;;
294;OKQ8;92;;
295;OKQ8;91;;
296;ONGO;91;;
297;Pandaförsäljningen;91;;
298;PARKERINGSBOLAGET;91;;
299;Paynova AB (publ);91;;
300;pjäxor;90;;
301;PLANTAGEN ASKIM;90;;
302;PodMe;90;;
303;PRALINEHUSET H.R AB;89;;
304;PREEM;89;;
305;PREEM;89;;
306;PRESENT GUSTAF;88;;
307;Presenter;87;;
308;PRESSBYRAN 4128810;87;;
309;PRESSBYRÅN;87;;
310;PRESSBYRÅN 4150145;87;;
311;QSTAR; Cleveland Borough Council;87;
312;QSTAR VETLANDA;86;;
313;RASTPUNKT LAXA;86;;
314;Regnkläder;86;;
315;REPAIRHOUSE AB;86;;
316;RESTAURANG GREENS;85;;
317;Rivjärn;85;;
318;RUDDALENS GYM;85;;
319;RUSTA SISJON 46;84;;
320;SANGUINE;84;;
321;SEGA GUBBEN;84;;
322;shell;83;;
323;SK7512235974;83;;
324;Skolkatalog;83;;
325;skridskor;83;;
326;SMARTREFILL;82;;
327;SMSPARK.SE; Staffordshire Moorlands District Council;82;
328;Snabböverföring;82;;
329;SOTA BAR SWEDEN AB;82;;
330;Sovsäck;81;;
331;Spade;81;;
332;SPORTSHOPEN SIS;81;;
333;Spotify P123B44EC3;80;;
334;ST1 VETLANDA;80;;
335;STADIUM SISJON;80;;
336;STORA COOP;80;;
337;STORA COOP SISJÖN;79;;
338;Storytel;79;;
339;Storytel Sweden AB;79;;
340;Swish;77;;
341;Swish till SF Anytime AB;77;;
342;SYSTEMBOLAGET ASKIM;77;;
343;TANKA;77;;
344;TANKA SISJON;76;;
345;TAPETKLISTTER;76;;
346;Taxi;75;;
347;TAXI GOTEBORG;75;;
348;TEAM SPORTIA SODERHAMN;74;;
349;Tillf mobil freja;74;;
350;Toalett;73;;
351;TRIUMF GLASS OCH GODIS;73;;
352;UDEMY: ONLINE COURSES;73;;
353;Vasttrafik AB;73;;
354;VENTIL;73;;
355;VÄSTTRAFIK;73;;
356;VÄSTTRAFIK AB;73;;
357;WILLYS;73;;
358;WILLYS SISJÖN;73;;
359;WWW.BILTEMA.COM;72;;
360;WWW.TELENOR.SE;72;;
361;XXL SPORT &VILD;72;;
362;ÅTERBETALNIN;72;;
363;ÅterbäringLF;71;;
364;Överf ISK;71;;
365;TILL G & F;71;;
366;Ridklubb;70;;
367;Sf anytime;70;;
368;iZ *Svanstrom Lin;69;;
369;9024.12.656.91;69;;
370;Nat;69;;
371;Freja hämtar bilnyckel;69;;
372;Star Stable NS9MQID1;69;;
373;Kläder barnen;69;;
374;90296610293;68;;
375;Löneinsättning;68;;
376;Swish till NYA JÄRNBODEN I VIRSERU;68;;
377;Swish till SF Anytime AB;68;;
378;Swish till VÄSTTRAFIK AB;67;;
379;Swish återbet från SF Anytime AB;67;;
380;Swish från AXEL BJÖRKLUND;67;;
381;Swish till BSGA GÖTEBORG AB;67;;
382;Swish från Bodil Karlsson;67;;
383;Swish till BILLDALS RIDKLUBB;67;;
384;Swish till SOKOLOVA CONSULT AB;66;;
385;Swish från Karlsson;66;;
386;Årsavg Bankkort Privat;66;;
