value;TypeofPayment;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
Astrid Lindgren;Överföring;Rörligt;Övrigt;;;;
ASTRID LINDGREN VERLD,VIMMERBY,SE;Kort;Rörligt;Övrigt;;;;
ASTRID LINDGREN,VIMMERBY,SE;Kort;Rörligt;Övrigt;;;;
ASTRID LINDGRENS VERLD,VIMMERBY,SE;Kort;Rörligt;Övrigt;;;;
ATM ICA KVANTUM HOVAS HOVAS;Kort;Rörligt;Mat;;;;
ATM KONTANTEN4620,ASKIM,SE;Kort;Rörligt;Övrigt;;;;
Avbetalning bil Fredrik;Överföring;Fasta;Transport;;;;
Bahnhof;Betalning;Fasta;Boende;;;;
BARN MOBIL;Överföring;Fasta;Mobil;;;;
Barnens mobil;Överföring;Fasta;Mobil;;;;
Barnens tfn;Överföring;Fasta;Mobil;;;;
BAUHAUS;Överföring;Rörligt;Boende;;;;
BAUHAUS GOTEBORG,HISINGSBACKA,SE;Kort;Rörligt;Boende;;;;
Bauhaus rep, kakel;Överföring;Rörligt;Boende;;;;
BAUHAUS SISJON,VESTRA FROLUN,SE;Kort;Rörligt;Boende;;;;
BEERISTA,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Bekräfta laddning av 072965418;Kort;Rörligt;Mobil;;;;
BENGANS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Bensib;Överföring;Rörligt;Transport;;;;
Bensin;Överföring;Rörligt;Transport;;;;
BERGSTROMS FRISERSALONG,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
BESIKTA BILPROV,STOCKHOLM,SE;Kort;Rörligt;Transport;;;;
BESIKTNING;Överföring;Rörligt;Transport;;;;
Beställning The Hive;Kort;Rörligt;Mat;;;;
BIKEPLACE,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
Bil;Överföring;Rörligt;Transport;;;;
BILHYRA;Överföring;Rörligt;Transport;;;;
BILLDALS RIDKLUBB;Betalning;Rörligt;Fritid;;;;
BILLDALS RIDKLUBB,BILLDAL,SE;Kort;Rörligt;Mat;;;;
Billmate AB;Betalning;Rörligt;Övrigt;;;;
Billogram / faktura;Betalning;Rörligt;Övrigt;;;;
Billån löst volvon beyald;Överföring;Rörligt;Transport;;;;
BILREP;Överföring;Rörligt;Transport;;;;
Biltema;Överföring;Rörligt;Boende;;;;
biltema lampa;Överföring;Rörligt;Boende;;;;
BILTEMA SWEDEN GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Boende;;;;
BILTEMA SWEDEN SISJON 164,VESTRA FROLUN,SE;Kort;Rörligt;Boende;;;;
BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;Kort;Rörligt;Boende;;;;
BILTEMA SWEDEN VETLAND,VETLANDA,SE;Kort;Rörligt;Boende;;;;
BILTEMA SWEDEN VETLANDA VETLAN;Kort;Rörligt;Boende;;;;
BIOZONE SCIENTIFIC SCANDINAVIA AB;Betalning;Rörligt;Boende;;;;
blocket;Överföring;Rörligt;Övrigt;;;;
Blocketannons 20 kr;Kort;Rörligt;Övrigt;;;;
Blocketannons 30 kr;Kort;Rörligt;Övrigt;;;;
Blocketannons 50 kr;Kort;Rörligt;Övrigt;;;;
BLOMSTERJATTEN,SKENE,SE;Kort;Rörligt;Boende;;;;
BLOMSTERLANDET ASKIM;Kort;Rörligt;Boende;;;;
BLOMSTERLANDET,ASKIM,SE;Kort;Rörligt;Boende;;;;
BODA HUS;Överföring;Rörligt;Boende;;;;
Bodil;Kort;Rörligt;Övrigt;;;;
Bodil Karlsson;Överföring;Rörligt;Övrigt;;;;
boende 2 Nässjö;Överföring;Rörligt;Boende;;;;
boende Nässjö;Överföring;Rörligt;Boende;;;;
BOKUS STOCKHOLM;Kort;Rörligt;Övrigt;;;;
BOKUS,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
BOTANISKA ANALYSGRUPPEN I;Betalning;Rörligt;Boende;;;;
BOUNCE HOVAAS AB,HOVAAS,SE;Kort;Rörligt;Fritid;;;;
BOWLING,GOTEBORG,SE;Kort;Rörligt;Fritid;;;;
Boxer;Betalning;Fasta;Boende;;;;
BRAUTIGAMS MARSIPAN KONF,FJARAS,SE;Kort;Rörligt;Mat;;;;
BRODHUSET,ASKIM,SE;Kort;Rörligt;Mat;;;;
BROGYLLEN SALUHALLEN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
BURGER KING BAC,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
BURGER KING JAR GOTEBORG;Kort;Rörligt;Mat;;;;
BURGER KING JAR,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
BURGER KING JAR,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
BURGER KING SIS,ASKIM,SE;Kort;Rörligt;Mat;;;;
BURGER KING VIA,BORAS,SE;Kort;Rörligt;Mat;;;;
BURGERSSON,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
BYGGMAX/1203,KALLERED,SE;Kort;Rörligt;Boende;;;;
BYGGMAX/1204,HISINGSBACKA,SE;Kort;Rörligt;Boende;;;;
BYGGMAX/1216,ASKIM,SE;Kort;Rörligt;Boende;;;;
BYGGMAX/1223,SKENE,SE;Kort;Rörligt;Boende;;;;
bäddmadrass;Överföring;Rörligt;Boende;;;;
C MORE,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
CAFE AZALEA,41476 GBG,SE;Kort;Rörligt;Boende;;;;
CAFE BADOASEN,PARTILLE,SE;Kort;Rörligt;Boende;;;;
CAFE DROTTNINGGATAN GOTEBORG;Kort;Rörligt;Boende;;;;
CEDERLEUFS SVENHEIMERS,GOTEBORG,SE;Kort;Rörligt;Boende;;;;
CENTRALA STUDIESTÖDSNÄMNDEN;Betalning;Fasta;Lån;;;;
CIRCLE K ASKIM ASKIM;Kort;Rörligt;Transport;;;;
CIRCLE K ASKIM,ASKIM,SE;Kort;Rörligt;Transport;;;;
CIRCLE K BOLLEBYGD,BOLLEBYGD,SE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG FROLUND VEST;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG FROLUND,VESTRA FROLUN,SE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG HJAL,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG HJALMAR GOTE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG HJALMAR,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG MARK,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
CIRCLE K GOTEBORG MUNK,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
CIRCLE K HISINGS BACKA BA,HISINGS BACKA,SE;Kort;Rörligt;Transport;;;;
CIRCLE K MOLNDAL SODERLED,MOLNDAL,SE;Kort;Rörligt;Transport;;;;
CIRCLE K NESSJO NESSJO;Kort;Rörligt;Transport;;;;
CIRCLE K NESSJO,NESSJO,SE;Kort;Rörligt;Transport;;;;
CIRCLE K ULRICEHAMN,ULRICEHAMN,SE;Kort;Rörligt;Transport;;;;
CITY CAR SERVICE,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
CITYPARKERINGEN VETLANDA VETLA;Kort;Rörligt;Transport;;;;
CITYPARKERINGEN VETLANDA,VETLANDA,SE;Kort;Rörligt;Transport;;;;
CLAS OHLSON ASKIM;Kort;Rörligt;Boende;;;;
CLAS OHLSON,ASKIM,SE;Kort;Rörligt;Boende;;;;
CLAS OHLSON,FROLUNDA TORG,SE;Kort;Rörligt;Boende;;;;
CLAS OHLSON,GOTEBORG,SE;Kort;Rörligt;Boende;;;;
CO 252 BACKAPLA,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
COLLECTOR BANK AB;Betalning;Rörligt;Övrigt;;;;
COLORAMA ASKIM,ASKIM,SE;Återbetalning;Rörligt;Boende;;;;
Compeed;Överföring;Rörligt;Sjukvård;;;;
Compeed igen;Överföring;Rörligt;Sjukvård;;;;
Conpeed apotek;Överföring;Rörligt;Sjukvård;;;;
COOP FORUM SISJON ASKIM;Kort;Rörligt;Mat;;;;
COOP HAJOM,HAJOM,SE;Kort;Rörligt;Mat;;;;
COOP KALLERED,KALLERED,SE;Kort;Rörligt;Mat;;;;
COOP KILAFORS,KILAFORS,SE;Kort;Rörligt;Mat;;;;
COOP KONSUM AVENYN GOTEBORG;Kort;Rörligt;Mat;;;;
COOP KONSUM VIRSERUM,VIRSERUM,SE;Kort;Rörligt;Mat;;;;
COOP NARA MARIAGATAN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
COOP SKENE,SKENE,SE;Kort;Rörligt;Mat;;;;
CORONA TEST;Överföring;Rörligt;Sjukvård;;;;
Cykel g;Överföring;Rörligt;Fritid;;;;
DAHLS BAGERI,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
Dammsugare;Överföring;Rörligt;Boende;;;;
DANILO RESTAURA,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
Dannsugare;Överföring;Rörligt;Boende;;;;
DARYAS PIZZERIA,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
den kostade bara 60tusen;Kort;Rörligt;Övrigt;;;;
Disk Stråtjära;Överföring;Rörligt;Övrigt;;;;
DJURENS VÄRLD,VETLANDA,SE;Kort;Rörligt;Övrigt;;;;
DUBBEL BUBBEL,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
DUYTAN,Goteborg,SE;Kort;Rörligt;Mat;;;;
Däckbyte;Överföring;Rörligt;Transport;;;;
Däcklagning;Kort;Rörligt;Transport;;;;
EASYPARK 2365415408;Kort;Rörligt;Transport;;;;
EASYPARK,2662822077,SE;Kort;Rörligt;Transport;;;;
EASYPARK,2676820639,SE;Kort;Rörligt;Transport;;;;
EBBES HORNA SVINGELN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
EBE SKADESERVICE AB;Betalning;Rörligt;Boende;;;;
ECO & FAIR,GOTEBORG,SE;Kort;Rörligt;Kläder;;;;
ECORIDE AB,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
EDAS GRILL GOTEBORG;Kort;Rörligt;Mat;;;;
EDAS GRILL,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
EGMONT PUBLISHING AB;Betalning;Rörligt;Övrigt;;;;
EKEHAGENS FORNTIDSBY,ASARP,SE;Kort;Rörligt;Fritid;;;;
EKHAGENS PIZZERIA,JÖNKÖPING,SE;Kort;Rörligt;Mat;;;;
EKLANDA KROG,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
ELCYKEL GOTEBORG BUTIK N,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
ELGIGANTEN AB,GÖTEBORG,SE;Kort;Rörligt;Övrigt;;;;
ELGIGANTEN GBG,SISJON GBG,SE;Kort;Rörligt;Övrigt;;;;
EMINENTA TJÄNSTEUTVECKLING I;Betalning;Rörligt;Boende;;;;
ENERGIKUNDSERVICE SVERIGE;Betalning;Rörligt;Boende;;;;
ENERGIKUNDSERVICE SVERIGE AB;Betalning;Rörligt;Boende;;;;
ePayment Service Europe AB;Betalning;Rörligt;Övrigt;;;;
ESPRESSO HOUSE 317,NASSJO,SE;Kort;Rörligt;Mat;;;;
EVA'S PARLEY,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Evema Miljö & Kemi AB;Betalning;Rörligt;Boende;;;;
extra fredrik;Överföring;Rörligt;Övrigt;;;;
Fam moberg;Kort;Rörligt;Övrigt;;;;
Fastighets AB Kalvringen Sisjön;Betalning;Rörligt;Övrigt;;;;
Fg skor;Överföring;Rörligt;Kläder;;;;
FILMSTADEN AB,STOCKHOLM,SE;Kort;Rörligt;Presenter;;;;
FJARAS GRILLEN,FJARAS,SE;Kort;Rörligt;Mat;;;;
FKASSA;Insättning;Rörligt;Bidrag;;;;
Flixbus;Kort;Rörligt;Transport;;;;
FLUGGER AB S027,Askim,SE;Kort;Rörligt;Boende;;;;
Flyttsajer;Överföring;Rörligt;Boende;;;;
Flyttsaker;Överföring;Rörligt;Boende;;;;
Fläkt;Överföring;Rörligt;Boende;;;;
FLÄKTPLATTA;Överföring;Rörligt;Boende;;;;
Flöjt;Överföring;Rörligt;Fritid;;;;
FOLKETS HUS 513305,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
FOLKSAM ÖMSESIDIG SAKFÖRSÄKRING;Betalning;Rörligt;Försäkring;;;;
FOLKTANDVARDEN ASKIM ASKIM;Kort;Rörligt;Sjukvård;;;;
Fonder fel;Överföring;Rörligt;Övrigt;;;;
Fondsparande Lann Mix;Betalning;Rörligt;Spara;;;;
FORDONSSKATT TRANSPORTSTYRELSEN;Betalning;Fasta;Transport;;;;
FOTBOLL FREJ;Överföring;Rörligt;Fritid;;;;
FRANKS GATUKOK MOLNDAL,MOLNDAAL,SE;Kort;Rörligt;Mat;;;;
FREDRIK MOBERG;Överföring;Rörligt;Övrigt;;;;
Freja borste;Överföring;Rörligt;Övrigt;;;;
Freja hämtar bilnyckel;Överföring;Rörligt;Övrigt;;;;
FROLUNDA KULTURHUS VESTRA FROL;Kort;Rörligt;Fritid;;;;
FRÅN LÖNEKONTO;Överföring;Rörligt;Övrigt;;;;
färg till vilg;Överföring;Rörligt;Boende;;;;
Försenat Grattis och God Jul;Kort;Rörligt;Presenter;;;;
FÖRSÄKRINGS AB SKANDIA;Betalning;Fasta;Försäkring;;;;
GARANTIENTREPRENAD I SVERIGE AB;Betalning;Rörligt;Boende;;;;
GBG SOCIAL RESURSFÖRVALTN;Betalning;Rörligt;Övrigt;;;;
Gbg Stad/Intraservice;Betalning;Fasta;Övrigt;;;;
Gi o f skor;Överföring;Rörligt;Kläder;;;;
GLADE JOHAN GODIS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Glasögon mm;Överföring;Rörligt;Övrigt;;;;
GOD JUL;Överföring;Rörligt;Presenter;;;;
GODEL I SVERIGE AB;Betalning;Fasta;Boende;;;;
GODIS & TOBAKCENTER EK,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
GODISBUTIKEN PAA AVENYN 4,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
GODISHUSET,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Golv;Överföring;Rörligt;Boende;;;;
GOOGLE *Google Play Ap,g.co/HelpPay#,IE;Kort;Rörligt;Övrigt;;;;
GOOGLE *Google,g.co/helppay#,GB;Kort;Rörligt;Övrigt;;;;
GOOGLE Google Play Ap,London,GB;Kort;Rörligt;Övrigt;;;;
GOOGLE Google Play Apps,London,GB;Kort;Rörligt;Övrigt;;;;
GOOGLE*GOOGLE,INTERNET,GB;Kort;Rörligt;Övrigt;;;;
GOOGLE*YOUTUBE VIDEOS,CC GOOGLE.COM,GB;Kort;Rörligt;Övrigt;;;;
GOTA MEDIA AB;Betalning;Rörligt;Övrigt;;;;
GOTEBORG CENTRAL,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
GOTEBORGS BOTANISKA TR,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
GOTEBORGS GODISAFFAR,ASKIM,SE;Kort;Rörligt;Mat;;;;
GOTEBORGS KONST,GOTEBORG,SE;Kort;Rörligt;Fritid;;;;
GOTEBORGS MARITIMA CENTRU,GOTEBORG,SE;Kort;Rörligt;Fritid;;;;
GOTEBORGS STAD GOTEBORG;Kort;Rörligt;Övrigt;;;;
GOTEBORGS STADS,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
GOTTEBORG GODISAFFAR,ASKIM,SE;Kort;Rörligt;Mat;;;;
GP.SE,INTERNET,SE;Kort;Rörligt;Övrigt;;;;
GRENNA KONFEKTYR,GRANNA,SE;Kort;Rörligt;Mat;;;;
GRENNAS BISTRO AB,GRENNA,SE;Kort;Rörligt;Mat;;;;
GRILLKIOSK,MALILLA,SE;Kort;Rörligt;Mat;;;;
GULF VIRSERUM,VIRSERUM,SE;Kort;Rörligt;Övrigt;;;;
Gustaf Moberg;Kort;Rörligt;Övrigt;;;;
Gustafs kalaskonto;Överföring;Rörligt;Presenter;;;;
GYLLENE KORVEN,Askim,SE;Kort;Rörligt;Mat;;;;
GÖSAB SOTNING AB;Betalning;Rörligt;Boende;;;;
Göteborgs Stad;Betalning;Fasta;Boende;;;;
Göteborgs Stads Parkerings AB;Betalning;Rörligt;Transport;;;;
GÖTEBORGS UNIVERSITET;Betalning;Rörligt;Övrigt;;;;
HAGABADET;Betalning;Fasta;Fritid;;;;
Halebop;Betalning;Fasta;Mobil;;;;
HALLON FREJA;Överföring;Fasta;Mobil;;;;
HALLON GUSTAF;Överföring;Fasta;Mobil;;;;
HALLON.SE,Stockholm,SE;Kort;Fasta;Mobil;;;;
HARVEST BY MANNERSTROM,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
HBO NORDIC AB,0770-455000,SE;Kort;Rörligt;Övrigt;;;;
HBO Nordic AB,Stockholm,SE;Kort;Rörligt;Övrigt;;;;
HEMGLASS GOTEBORG,VASTERAS,SE;Kort;Rörligt;Mat;;;;
HEMKOP GOTEBORG LINNEG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
HEMKOP KINNA,KINNA,SE;Kort;Rörligt;Mat;;;;
HEMKOP MOLNDAL C NEW,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
HEMKÖP VÄSTRA FRÖLUNDA,VÄSTRA FRÖLUN,SE;Kort;Rörligt;Mat;;;;
HERTZ 00409 GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
HERTZ SWEDEN FRANCHISE,DUBLIN,IE;Kort;Rörligt;Transport;;;;
HEYNOW.AI,Goteborg,SE;Kort;Rörligt;Övrigt;;;;
HM SE0221,Goeteborg,SE;Kort;Rörligt;Kläder;;;;
HM SE0244,Vaestra Froel,SE;Kort;Rörligt;Kläder;;;;
HM SE0249,Vaestra Froel,SE;Kort;Rörligt;Kläder;;;;
HOLMENS HERR GOTEBORG;Återbetalning;Rörligt;Kläder;;;;
HOOKS KAALLERED,KAALLERED,SE;Kort;Rörligt;Fritid;;;;
HOTELL HOGLAND,NASSJO,SE;Kort;Rörligt;Övrigt;;;;
Hovås Askim Familjeläkare & BVC AB;Betalning;Rörligt;Sjukvård;;;;
Husesyning Sverige AB;Betalning;Rörligt;Boende;;;;
HYNGS VILT I HALLEN AB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
HÖGSBY PASTORAT;Betalning;Rörligt;Övrigt;;;;
HÖÖKS HÄSTSPORT,BORÅS,SE;Kort;Rörligt;Fritid;;;;
ICA FOCUS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
ICA KVANTUM FROLUNDA VASTRA FR;Kort;Rörligt;Mat;;;;
ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
ICA KVANTUM HOVAS HOVAS;Kort;Rörligt;Mat;;;;
ICA KVANTUM HOVAS,HOVAS,SE;Kort;Rörligt;Mat;;;;
ICA NARA HAGA GOTEBORG;Kort;Rörligt;Mat;;;;
ICA NARA HAGA,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
ICA NARA KILAFORS,KILAFORS,SE;Kort;Rörligt;Mat;;;;
ICA NARA KRYSSET VIRS,VIRSERUM,SE;Kort;Rörligt;Mat;;;;
ICA NARA KRYSSET VIRSERU,VIRSERUM,SE;Kort;Rörligt;Mat;;;;
ICA NARA TOPPEN GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
ICA SUPERMARKET AKERED VASTRA;Kort;Rörligt;Mat;;;;
ICA SUPERMARKET AKERED,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
ICA SUPERMARKET FALKOPING,FALKOPING,SE;Kort;Rörligt;Mat;;;;
ICA SUPERMARKET HORNDAL,HORNDAL,SE;Kort;Rörligt;Mat;;;;
ICA SUPERMARKET MAJORNA,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
idrottsrabatten Freja Moberg;Kort;Rörligt;Fritid;;;;
idrottsrabatten Gustaf Moberg;Kort;Rörligt;Fritid;;;;
IF SKADEFÖRSÄKRING AB (PU;Betalning;Fasta;Försäkring;;;;
IKANO BANK AB - PREEM;Betalning;Rörligt;Övrigt;;;;
IKEA-K$LLERED,K$LLERED,SE;Kort;Rörligt;Boende;;;;
IKEA-KALLERED,KALLERED,SE;Återbetalning;Rörligt;Boende;;;;
Indisk mat;Kort;Rörligt;Mat;;;;
INDISKA KOKET BACKAPLAN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
INET RINGON,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
INET SISJON,ASKIM,SE;Kort;Rörligt;Övrigt;;;;
INGO ASKIM SISJON,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
INGO VESTRA FROLUNDA, NES,VESTRA FROLUN,SE;Kort;Rörligt;Övrigt;;;;
Insättning;Insättning;Rörligt;Övrigt;;;;
Inteleon AB;Betalning;Rörligt;Transport;;;;
Inteleon AB Goteborg;Kort;Rörligt;Transport;;;;
Inteleon AB,Goteborg,SE;Kort;Rörligt;Transport;;;;
INTER BOWLING MAJORNA,GOTEBORG,SE;Kort;Rörligt;Fritid;;;;
INTERSPORT GOTE,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
INTERSPORT GOTE,VASTRA FROLUN,SE;Kort;Rörligt;Övrigt;;;;
INTRUM SVERIGE AB;Betalning;Rörligt;Övrigt;;;;
ITUNES.COM/BILL 020100529;Kort;Rörligt;Övrigt;;;;
ITUNES.COM/BILL ITUNES.COM;Kort;Rörligt;Övrigt;;;;
ITUNES.COM/BILL,020100529,IE;Kort;Rörligt;Övrigt;;;;
ITUNES.COM/BILL,ITUNES.COM,IE;Kort;Rörligt;Övrigt;;;;
IZ *ARKIVETS CAFE,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
iZ *Boguro AB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
IZ *BOLLNAS ALPINA,BOLLNAS,SE;Kort;Rörligt;Mat;;;;
IZ *EFTERTANKE I J,JARVSO,SE;Kort;Rörligt;Mat;;;;
IZ *HOVAS HOCKEY C HOVAS;Kort;Rörligt;Mat;;;;
IZ *LINDAS INNEBAN,HOVAS,SE;Kort;Rörligt;Mat;;;;
IZ *Lindas Innebandy Klub,HOVAS,SE;Kort;Rörligt;Mat;;;;
IZ *NORDIC EXHIBIT NORRKOPING;Kort;Rörligt;Mat;;;;
iZ *Svanstrom Lin,Styrso,SE;Kort;Rörligt;Mat;;;;
jacka freja;Överföring;Rörligt;Kläder;;;;
