;buyer;count;;
289;Cabinet Office : Cabinet Office;93;;
290;CRESCENT PURCHASING LIMITED;92;;
291;NHS Commercial Solutions;92;;
292;HULL UK CITY OF CULTURE 2017 LIMITED;92;;
293;Corserv Ltd;92;;
294;One Housing Group;91;;
295;Dartford Borough Council;91;;
296;UNIVERSITY OF GLOUCESTERSHIRE;91;;
297;Cornwall College e-Tendering;91;;
298;Harrogate Borough Council;91;;
299;British Business Bank;90;;
300;Cefas;90;;
301;The Arts Council England;90;;
302;CIRRUS PURCHASING LTD;89;;
303;Wakefield Council;89;;
304;any of the projects listed on the portal;89;;
305;BRITISH COUNCIL(THE);88;;
306;Great Yarmouth Borough Council;87;;
307;BRACKNELL FOREST COUNCIL;87;;
308;PROCURE PLUS HOLDINGS LIMITED;87;;
309;Derby Homes Limited;87;;
310;Redcar &amp; Cleveland Borough Council;87;
311;University College London Hospitals NHS Foundation Trust;86;;
312;Derby Homes;86;;
313;East Of England NHS Collaborative Hub;86;;
314;North Devon District Council;86;;
315;Forestry Commission;85;;
316;South Gloucestershire Council;85;;
317;Construction Impact Framework;85;;
318;LONDON BOROUGH OF HACKNEY;84;;
319;Construction Industry Training Board (CITB);84;;
320;oneSource;84;;
321;NHS South West - Acutes;83;;
322;STEVENAGE BOROUGH COUNCIL;83;;
323;EFFICIENCY NORTH LIMITED;83;;
324;Nottinghamshire Police Force;83;;
325;English Heritage;82;;
326;High Peak Borough Council &amp; Staffordshire Moorlands District Council;82;
327;Bernicia Group;82;;
328;Colchester Borough Council;82;;
329;Southend-on-Sea Borough Council;81;;
330;The Corporation of Trinity House;81;;
331;Leicestershire Police;81;;
332;Tameside Metropolitan Borough Council;80;;
333;Uk Intellectual Property Office;80;;
334;Kingstown Works Ltd;80;;
335;National Archives Public Record Office;80;;
336;Rochdale Metropolitan Borough Council;79;;
337;NCG Corporation;79;;
338;University Of Plymouth;79;;
339;Thanet District Council;77;;
340;SOMERSET COUNTY COUNCIL;77;;
341;Bedford Borough Council;77;;
342;University of York;77;;
343;KINGS LYNN & WEST NORFOLK BOROUGH COUNCIL;76;;
344;"MINISTRY OF HOUSING, COMMUNITIES &amp; LOCAL GOVERNMENT";76;;
345;Victory Housing Trust;75;;
346;Wokingham Borough Council;75;;
347;Stoke-On-Trent City Council;74;;
348;Northern Lighthouse Board;74;;
349;LINCOLNSHIRE COUNTY COUNCIL;73;;
350;THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE;73;;
351;Cheshire West and Chester;73;;
352;NORTHUMBERLAND COUNTY COUNCIL;73;;
353;"Ministry of Defence, C&amp;C, C&amp;C";73;;
354;St Helens College;73;;
355;UNIVERSITY OF HULL;73;;
356;The Open University;73;;
357;Keele University;73;;
358;EASTERN PROCUREMENT LIMITED;72;;
359;BFI;72;;
360;Braintree District Council;72;;
361;Erewash Borough Council;72;;
362;COVENTRY CITY COUNCIL;71;;
363;Islington;71;;
364;N H S Business Services Authority;71;;
365;The Police and Crime Commissioner for Kent;70;;
366;DUE NORTH LIMITED;70;;
367;Yorwaste Ltd;69;;
368;Newcastle-under-Lyme Borough Council;69;;
369;Serious Fraud Office;69;;
370;Leeds Beckett University;69;;
371;Borough of Poole;69;;
372;University Hospitals of North Midlands NHS Trust;69;;
373;Defence Science And Technology Laboratory;68;;
374;The Royal Borough of Kingston upon Thames;68;;
375;Harborough District Council;68;;
376;Essex County Council;68;;
377;Equality and Human Rights Commission;67;;
378;UNIVERSITY OF SOUTHAMPTON;67;;
379;Wyre Borough Council;67;;
380;WIGAN COUNCIL;67;;
381;Anglia Ruskin University;67;;
382;Transport for London;67;;
383;NEUPC Ltd;66;;
384;Plymouth City Council;66;;
385;Portsmouth City Council;66;;
