Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;
Anvil Trust Ltd, The;Local Government;S.1313;;;;
Appeal Body (DVTA);Central Government;S.1311;;;;
Appeals Service;Former Central Government;S.1311;1-Apr-06;Nov-11;;
Apple and Pear Research Council (APRC);Former Central Government;S.1311;;;;
Appointments Commission;Former Central Government;S.1311;1-Oct-12;Oct-12;;
Arbroath Harbour;Local Government;S.1313;;;;
Architects Registration Board;Public Non-Financial Corporation;S.11001;;;;
Architectural Heritage Fund;Central Government;S.1311;;;;
Architecture and Design Scotland;Central Government;S.1311;;;;
Ards and North Down Borough Council;Local Government;S.1313;;;;
Areas of Outstanding Natural Beauty (AONB) Conservation Boards (En Bloc);Local Government;S.1313;;Sep-12;;
Argyll and Bute Council;Local Government;S.1313;;;;
Argyll Ferries Ltd;Central Government;S.1311;1-Feb-11;Sep-11;;
Armagh City, Banbridge and Craigavon Borough Council;Local Government;S.1313;;;;
Armagh Observatory and Planetarium;Central Government;S.1311;;;;
Armed Forces Pay Review Body;Central Government;S.1311;;;;
Armed Forces Personnel Administration Agency;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Arms Length Management Organisations (ALMOs);Public Non-Financial Corporation;S.11001;;;;
Army Base Repair Organisation (ABRO);Former Public Corporation;S.11001;;;;
Army Base Storage and Distribution Agency;Former Central Government;S.1311;;;;
Army Personnel Centre;Former Central Government;S.1311;1-Apr-04;Mar-11;;
Army Technical Support Agency;Former Central Government;S.1311;;;;
Army Training and Recruiting Agency;Former Central Government;S.1311;1-Apr-06;Mar-11;;
Arts and Humanities Research Board;Former Central Government;S.1311;1-Apr-05;Aug-11;;
Arts and Humanities Research Council, The;Central Government;S.1311;1-Apr-05;Aug-11;;
Arts Council for Wales National Lottery;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Arts Council England;Central Government;S.1311;;;;
Arts Council of Northern Ireland;Central Government;S.1311;;;;
Arts Council of Wales;Central Government;S.1311;;;;
Arun District Council;Local Government;S.1313;;;;
Ascension Island Personnel Ltd (50%) (sWS) (Associate);Former Public Non-Financial Corporation;S.11001;1-Apr-04;Feb-16;"ONS has been advised by the Department for Culture, Media and Sports that Ascension Island Personnel Ltd, a subsidiary of the World Service was dissolved  on 1 April 2004. The Public Sector Classifications Guide has been updated to reflect this; effective from the date of classification.  ";
Ashfield District Council;Local Government;S.1313;;;;
Ashfield Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Ashford Borough Council;Local Government;S.1313;;;;
Ashworth Hospital Authority;Former Central Government;S.1311;;;;
Asset Protection Agency;Former Central Government;S.1311;1-Oct-12;Apr-13;;
Assets Recovery Agency;Former Central Government;S.1311;1-Apr-08;Jun-12;;
Association of London Government;Local Government;S.1313;;;;
Association of Port Health Authorities;Local Government;S.1313;;;;
Association of Town Centre Management;Local Government;S.1313;;;;
Attorney General's Office;Central Government;S.1311;;;;
Auchmithie Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Audit Commission;Former Public Non-Financial Corporation;S.11001;31-Mar-15;Jan-16;The Audit Commission was closed on 31st March 2015 with its functions being taken on by Public Sector Appointments Ltd, National Audit Office, Financial Reporting Council and Cabinet Office;
Audit Commission Pension Scheme (The);Public Pension Fund;S.12901;31-May-12;Feb-16;The Audit Commission Pension Scheme provides pensions and other benefits to former employees of the Audit Commission under a defined benefit scheme. The Scheme entered into a Crown Guarantee on 31 May 2012.  It was closed to new members at the end of March 2015 following the dissolution of the Audit Commission.  ONS assessed the Audit Commission crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the Audit Commission Pension Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) the Secretary of State for DCLG was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;
Audit Scotland;Public Non-Financial Corporation;S.11001;;;;
Averon Leisure Management Limited;Former Local Government;S.1313;1-Apr-14;Jun-14;;
Aviation Committee;Former Central Government;S.1311;;;;
Avoch Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
AWE [Atomic Weapons Establishment] Management Ltd;Public Non-Financial Corporation;S.11001;;;;
AWE [Atomic Weapons Establishment] Plc;Public Non-Financial Corporation;S.11001;;;;
Aycliffe - (s NTC);Former Central Government;S.1311;;;;
Aylesbury Vale District Council;Local Government;S.1313;;;;
Aylesham and District Community Workshop Trust;Local Government;S.1313;;;;
Babergh District Council;Local Government;S.1313;;;;
Baileyfield Switch and Crossing Works;Former Public Corporation;S.11001;;;;
Bainsdown Ltd (s MA);Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/03;1-Feb-13;Jun-15;;
Bank of England;Public Financial Corporation;S.121;;;;
Bank of England Pension Scheme (also known as the Bank of England Pension Fund);Public Pension Fund;S.12901;29-Oct-99;Mar-19;The Bank of England pension scheme is a defined benefit scheme which provides benefits for employees of the Bank of England. ONS has assessed the classification status of the scheme and has concluded that Bank of England Pension Fund Trustees Ltd. is the scheme's Pension Administrator, as it was created with the sole purpose of acting as the trustee for the scheme. As a majority of the trustees are appointed by the Bank of England (which is classified as a public financial corporation (S.121)), this has led to the trustees being classified within the Public Pension Funds subsector (S.12901) with effect from 29 October 1999, the date Bank of England Pension Fund Trustees Ltd. was incorporated. ONS has also determined that the Pension Manager is the Bank of England as it bears responsibility for the Scheme's policy and strategy, and ultimate responsibility for the scheme.;
Bank of Scotland plc;Former Public Financial Corporation;S.12201;1-Mar-14;Apr-14;;
Banking Department;Public Financial Corporation;S.121;;;;
Barbican Centre;Local Government;S.1313;;;;
Barnet Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Barnsley Metropolitan Borough Council;Local Government;S.1313;;;;
Barnstaple Port;Local Government;S.1313;;;;
Barrow-in-Furness Borough Council;Local Government;S.1313;;;;
Basic Skills Agency;Former Central Government;S.1311;1-May-09;Jun-12;;
Basildon - (s NTC);Former Central Government;S.1311;;;;
Basildon Borough Council;Local Government;S.1313;;;;
Basingstoke and Deane Borough Council;Local Government;S.1313;;;;
Basingstoke Dial-a-Ride;Local Government;S.1313;;;;
Bassetlaw District Council;Local Government;S.1313;;;;
Bath and North East Somerset Council;Local Government;S.1313;;;;
BBC Broadcast;Former Public Non-Financial Corporation;S.11001;;;Sold on 1 August 2005 and reclassified to private sector. Subsequently renamed Red Bee media.;
BBC Commercial Holdings Limited;Central Government;S.1311;18-Jun-02;Nov-15;BBC Commercial Holdings Limited is the holding company for the British Broadcasting Corporation's (BBC) principal commercial subsidiary undertakings including BBC Worldwide Limited, BBC Global News Limited, and BBC Studios & Post Production Limited. The parent body of BBC Commercial Holdings Ltd is the BBC, which is classified in the Central Government subsector. BBC Commercial Holdings Limited is a public-controlled holding company and therefore, following the European System of Accounts 2010 ( ESA 2010) and accompanying 2014 Manual on Government and Deficit and Debt (MGDD) rules, is classified to the central government subsector, effective 18 June 2002.;
BBC do Brazil Limitada (Brazil) (sWS);Public Non-Financial Corporation;S.11001;;;;
BBC East Asia Relay Company Ltd [Hong Kong] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Haymarket Exhibitions Ltd (50%) (sBBCW) (Associate);Former Public Non-Financial Corporation;S.11001;23-May-14;Feb-16;"ONS has been advised by the Department for Culture, Media and Sports that BBC Haymarket Exhibitions Ltd, a subsidiary of BBC Worldwide Ltd, was subject to a management buy-out on 23 May 2014. The sole shareholder of both A and B shares is River Street Media Ltd. The Public Sector Classifications Guide has been updated to reflect this; effective from the date of classification.  ";
BBC Magazines Inc. [USA] (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Pension Scheme;Public Pension Fund;S.12901;1-Jun-49;Aug-16;The BBC Pension Scheme provides pensions and other benefits to employees of the British Broadcasting Corporation (BBC) and its subsidiaries under a defined benefit scheme.  ONS assessed the BBC Pension Scheme in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016). ONS concluded that (i) the BBC Pension Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) BBC was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;
BBC Polska SP Zoo [Poland] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom (Bulgaria) OLLC [Bulgaria] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom (Hungary) Ltd [Hungary] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom (Praha) Sro [Czech Republic] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom (Romania) SRL [Romania] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom (Slovakia) Ltd [Slovakia] (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Radiocom Deutschland GmbH (Germany) (sWS);Public Non-Financial Corporation;S.11001;;;;
BBC World Service (WS);Central Government;S.1311;;;;
BBC World Service Television Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC World Service Training Trust (s WS);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide (France) SARL [France] (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide (Germany) GMBH [Germany] (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide (Investments) Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide Americas Inc.[USA] (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide Channel Investment Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide Ltd (BBCW)- (s HS);Public Non-Financial Corporation;S.11001;;;;
BBC Worldwide Music Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
BCE Corporate Functions Ltd;Former Public Corporation;S.11001;;;;
Beacon Waste Ltd;Local Government;S.1313;;;;
Beaumaris Port;Local Government;S.1313;;;;
Bedford Borough Council;Local Government;S.1313;;;;
Bedfordshire, Cambridgeshire, Hertfordshire and Northamptonshire Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Beeches Road Community Enterprise Ltd;Local Government;S.1313;;;;
Beef Assurance Scheme Membership Panel;Former Central Government;S.1311;1-Dec-05;Jun-14;;
Belfast Airport;Former Public Corporation;S.11001;;;;
Belfast City Council;Local Government;S.1313;;;;
Belfast Education and Library Board;Central Government;S.1311;;;;
Belfast Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Belfast Health and Social Care Trust;Central Government;S.1311;1-Apr-10;Dec-10;;
Belgrade Theatre;Local Government;S.1313;;;;
Benefits Agency;Former Central Government;S.1311;1-Apr-02;Nov-11;;
Berkshire Young Musicians Trust;Local Government;S.1313;;;;
Berneslai Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Betsi Cadwaladr University Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;
Better Regulation Task Force;Former Central Government;S.1311;;;;
Bideford Port;Local Government;S.1313;;;;
BIG Lottery Fund;Central Government;S.1311;;;;
Big Society Capital;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution, as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;
Big Society Foundation;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution, as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;
Big Society Trust;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution, as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;
Biggin Hill Aerodrome;Local Government;S.1313;;;;
BIL Solutions Ltd - (s BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
Bio Products Laboratory Ltd;Former Public Corporation;S.11001;1-Jul-13;May-14;;
Biotechnology and Biological Sciences Research Council (The);Central Government;S.1311;;;;
Birmingham Airport;Former Public Corporation;S.11001;;;;
Birmingham BRIS;Former Public Corporation;S.11001;;;;
Birmingham City Council;Local Government;S.1313;;;;
Birmingham Heartlands UDC;Former Public Corporation;S.11001;;;;
BIS (Postal Services Act 2011) B Company Limited;Central Government;S.1311;1-Feb-12;Sep-12;;
BIS (Postal Services Act 2011) Company Limited;Central Government;S.1311;1-Feb-12;Sep-12;;
Blaby District Council;Local Government;S.1313;;;;
Black Country Development Corporation;Former Public Corporation;S.11001;;;;
Black Horse Ltd;Former Public Financial Corporation;S.12201;1-Mar-14;Apr-14;;
Blackburn Borough Transport;Former Public Corporation;S.11001;;;;
Blackburn with Darwen Borough Council;Local Government;S.1313;;;;
Blackpool Airport Ltd;Public Non-Financial Corporation;S.11001;;;;
Blackpool Challenge Partnership Ltd;Local Government;S.1313;;;;
Blackpool Coastal Housing Ltd;Public Non-Financial Corporation;S.11001;;;;
Blackpool Council;Local Government;S.1313;;;;
Blackpool Fylde and Wyre Society for the Blind, The;Local Government;S.1313;;;;
Blackpool Grand Theatre (Arts and Entertainment) Ltd;Local Government;S.1313;;;;
Blackpool Grand Theatre Catering Ltd;Local Government;S.1313;;;;
