Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;;;;;;;;
Advisory Committee on Pesticides;VASTRA FROLUN;SE;Former Central Government;S.1311;1-Mar-15;Oct-17;The Advisory Committee on Pesticides provided independent scientific advice to Ministers and Governments on the authorisation of pesticides in the UK and on matters related to the control of pests. It was succeeded by the UK Expert Committee on Pesticides (ECP) which was established on 27 March 2015 under the Public Bodies Order 2015.;;;;;;
Advisory Committee on Plant and Machinery;Former Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Releases to the Environment;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Service Candidates;www.amazon.se;LU;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Sites of Special Scientific Interest;Former Central Government;S.1311;1-Apr-11;Sep-11;;;;;;;;;
Advisory Committee on Telecommunications for Disabled and Elderly People (DIEL);Central Government;S.1311;;;;;;;;;;;
Advisory Committee on the Government Art Collection;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on the Microbiological safety of Food;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Work-Life Balance;ASKIM;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committees on General Commissioners of Income Tax;20790637;NL;Central Government;S.1311;;;;;;;;;
Advisory Committees on General Commissioners of Income Tax (Northern Ireland);Stockholm;SE;Former Central Government;S.1311;1-Apr-09;May-12;;;;;;;
Advisory Committees on Justices of the Peace (Northern Ireland);Stockholm;SE;Former Central Government;S.1311;1-Jun-05;May-12;;;;;;;
Advisory Committees on Justices of the Peace in England and Wales;Central Government;S.1311;;;;;;;;;;;
Advisory Committees on Justices of the Peace in Lancashire, Greater Manchester and Merseyside;Stockholm;SE;Central Government;S.1311;;;;;;;;;
Advisory Conciliation and Arbitration Service;GÖTEBORG;SE;Central Government;S.1311;;;;;;;;;
Advisory Council on Libraries;GÖTEBORG;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Council on National Records and Archives;ASKIM;SE;Central Government;S.1311;1-Apr-04;Oct-11;;;;;;;
Advisory Council on Public Records;ASKIM;SE;Former Central Government;S.1311;1-Apr-04;Oct-11;;;;;;;
Advisory Council on the Misuse of Drugs;VESTRA FROLUN;SE;Central Government;S.1311;;;;;;;;;
Advisory Group on Hepatitis;Central Government;S.1311;;;;;;;;;;;
Advisory Group on Military Medicine;Central Government;S.1311;1-Aug-08;Sep-13;;;;;;;;;
Advisory Panel on Standards for the Planning Inspectorate;Former Central Government;S.1311;1-Jun-10;Oct-11;;;;;;;;;
AEA Technology;Former Public Corporation;S.11001;;;;;;;;;;;
Aerospace Committee;Former Central Government;S.1311;;;;;;;;;;;
Age Concern Wiltshire;ULRICEHAMN;SE;Local Government;S.1313;;;;;;;;;
Aggregator Vehicle PLC;Central Government;S.1311;8-Aug-14;Feb-15;;;;;;;;;
Agricultural Development and Advisory Service;Former Central Government;S.1311;;;;;;;;;;;
Agricultural Dwelling House Advisory Committees (England) (ADHAC);Former Central Government;S.1311;1-Dec-13;Jan-16;Following a public consultation in 2012; the Government decided to close the 16 committees in England in December 2013;;;;;;;
Agricultural Dwelling House Advisory Committees (Wales);Former Central Government;S.1311;1-Mar-07;Oct-13;;;;;;;;;
Agricultural Land Tribunal (Wales);LANDVETTER;SE;Central Government;S.1311;;;;;;;;;
Agricultural Land Tribunals (England);VIRSERUM;SE;Former Central Government;S.1311;1-Jul-13;Jun-14;;;;;;;
Agricultural Research Institute of Northern Ireland;NESSJO;SE;Former Central Government;S.1311;1-Mar-06;May-12;;;;;;;
Agricultural Wages Board for England and Wales;VIRSERUM;SE;Former Central Government;S.1311;1-Jun-13;Oct-13;;;;;;;
Agricultural Wages Board for Northern Ireland;Stockholm;SE;Central Government;S.1311;;;;;;;;;
Agricultural Wages Committees for England;VIRSERUM;SE;Former Central Government;S.1311;1-Dec-13;Jan-16;Following a public consultation in 2012; the Government decided to close the 15 committees in England in December 2013;;;;;
Agricultural Wages Committees for Wales;BORAS;SE;Former Central Government;S.1311;1-Mar-07;Oct-13;;;;;;;
Agriculture and Environment Biotechnology Commission;BORAS;SE;Former Central Government;S.1311;;;;;;;;;
Agriculture and Horticulture Development Board;Central Government;S.1311;;;;;;;;;;;
Agri-Food & Biosciences Institute;GOTEBORG;SE;Central Government;S.1311;1-Apr-06;May-12;;;;;;;
Air Safety Support International Ltd;VESTRA FROLUN;SE;Central Government;S.1311;1-Nov-00;Oct-13;;;;;;;
Air Travel Trust;NESSJO;SE;Central Government;S.1311;1-Apr-08;Apr-12;;;;;;;
Airborne Particles Expert Group;BORÅS;SE;Central Government;S.1311;;;;;;;;;
Aire Valley Finance (No2) plc;Public Financial Corporation;S.12501;;;;;;;;;;;
Aire Valley Mortgages 2004-1 plc;Stockholm;SE;Public Financial Corporation;S.12501;;;;;;;;;
Aire Valley Mortgages 2005-1 plc;Public Financial Corporation;S.12501;;;;;;;;;;;
Aire Valley Mortgages 2006-1 plc;DUBLIN;IE;Public Financial Corporation;S.12501;;;;;;;;;
Aire Valley Mortgages 2007-1 plc;Public Financial Corporation;S.12501;;;;;;;;;;;
Aire Valley Mortgages 2007-2 plc;Stockholm;SE;Public Financial Corporation;S.12501;;;;;;;;;
Aire Valley Mortgages 2008-1 plc;Stockholm;SE;Public Financial Corporation;S.12501;;;;;;;;;
Aire Valley Warehousing 3 Limited;Public Financial Corporation;S.12501;;;;;;;;;;;
Airport Advertising Ltd (s MA);Public Non-Financial Corporation;S.11001;1-Feb-13;Jun-15;;;;;;;;;
Airport Driving Range Company Limited;GOTEBORG;SE;Former Public Corporation;S.11001;1-Jul-06;Aug-13;;;;;;;
Airport Management Consultants Ltd (s MA);MSBILL.INFO;IE;Central Government;S.1311;;;;;;;;;
Airport Management Services Limited (s H&IE);ULRICEHAMN;SE;Public Non-Financial Corporation;S.11001;1-Feb-13;Jun-15;;;;;;;
Airport Petroleum Ltd (s MA);ASKIM;SE;Former Public Corporation;S.11001;1-Jul-06;Aug-13;;;;;;;
Airport Trading Ltd (s MA);ULRICEHAMN;SE;Former Central Government;S.1311;1-Jul-12;Sep-12;;;;;;;
Alcohol Education and Research Council;NESSJO;SE;Local Government;S.1313;;;;;;;;;
Allerdale Borough Council;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Amber Valley Borough Council;Local Government;S.1313;;;;;;;;;;;
Amble Development Trust Ltd;ULRICEHAMN;SE;Public Financial Corporation;S.12201;;;;;;;;;
AMC Bank Ltd;Former Public Corporation;S.11001;;;;;;;;;;;
Amercare Ltd - (s BNFL);ASKIM;SE;Local Government;S.1313;;;;;;;;;
Amlwch Port;GOTEBORG;SE;Former Central Government;S.1311;1-Apr-06;Feb-12;;;;;;;
Ancient Monuments Board for Scotland;GOTEBORG;SE;Former Central Government;S.1311;1-Jun-03;Feb-12;;;;;;;
Ancient Monuments Board for Wales;GOTEBORG;SE;Central Government;S.1311;1-Jun-09;Mar-11;;;;;;;
Aneurin Bevan University Health Board;Stockholm;SE;Former Public Corporation;S.11001;;;;;;;;;
Angel Train Contracts;Stockholm;SE;Former Public Corporation;S.11001;;;;;;;;;
Anglian Water;20790637;NL;Local Government;S.1313;;;;;;;;;
Angus Council;MOLNDAL;SE;Former Central Government;S.1311;;;;;;;;;
Animal Diseases Research Association;VESTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
Animal Health;VESTRA FROLUN;SE;Central Government;S.1311;1-Oct-14;Sep-18;;;;;;;
Animal Health and Plant Agency;Former Central Government;S.1311;1-Oct-14;Feb-18;;;;;;;;;
Animal Health and Veterinary Laboratories Association;GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Animal Planet (Latin Am) (50%) (sBBCW) (Associate);GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Animal Procedures Committee;Goteborg;SE;Former Central Government;S.1311;1-Jul-10;Jul-12;;;;;;;
Animal Welfare Advisory Committee (MOD);GÖTEBORG;SE;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016); ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991; these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation; ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations; with this decision effective from 2 December 2015.;;
Annan Harbour;GÖTEBORG;SE;Local Government;S.1313;;;;;;;;;
Antrim and Newtownabbey Borough Council;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Anvil Trust Ltd, The;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Appeal Body (DVTA);GOTEBORG;SE;Former Central Government;S.1311;1-Apr-06;Nov-11;;;;;;;
Appeals Service;INTERNET;GB;Former Central Government;S.1311;;;;;;;;;
Apple and Pear Research Council (APRC);Former Central Government;S.1311;1-Oct-12;Oct-12;;;;;;;;;
Appointments Commission;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Arbroath Harbour;GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Architects Registration Board;GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Architectural Heritage Fund;GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Architecture and Design Scotland;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Ards and North Down Borough Council;Local Government;S.1313;;Sep-12;;;;;;;;;
Areas of Outstanding Natural Beauty (AONB) Conservation Boards (En Bloc);Local Government;S.1313;;;;;;;;;;;
Argyll and Bute Council;GOTEBORG;SE;Central Government;S.1311;1-Feb-11;Sep-11;;;;;;;
Argyll Ferries Ltd;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Armagh City, Banbridge and Craigavon Borough Council;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Armagh Observatory and Planetarium;GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Armed Forces Pay Review Body;GOTEBORG;SE;Former Central Government;S.1311;1-Apr-07;Mar-11;;;;;;;
Armed Forces Personnel Administration Agency;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Arms Length Management Organisations (ALMOs);Former Public Corporation;S.11001;;;;;;;;;;;
Army Base Repair Organisation (ABRO);Former Central Government;S.1311;;;;;;;;;;;
Army Base Storage and Distribution Agency;Former Central Government;S.1311;1-Apr-04;Mar-11;;;;;;;;;
Army Personnel Centre;Stockholm;SE;Former Central Government;S.1311;;;;;;;;;
Army Technical Support Agency;VASTRA FROLUN;SE;Former Central Government;S.1311;1-Apr-06;Mar-11;;;;;;;
Army Training and Recruiting Agency;GOTEBORG;SE;Former Central Government;S.1311;1-Apr-05;Aug-11;;;;;;;
Arts and Humanities Research Board;GOTEBORG;SE;Central Government;S.1311;1-Apr-05;Aug-11;;;;;;;
Arts and Humanities Research Council, The;VÄSTRA FRÖLUN;SE;CG Funds; Accounts; Courts and Posts;S.1311;;;;;;;
Arts Council for Wales National Lottery;Central Government;S.1311;;;;;;;;;;;
Arts Council England;Central Government;S.1311;;;;;;;;;;;
Arts Council of Northern Ireland;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Arts Council of Wales;VETLANDA;SE;Local Government;S.1313;;;;;;;;;
Arun District Council;NESSJO;SE;Local Government;S.1313;;;;;;;;;
Ascension Island Personnel Ltd (50%) (sWS) (Associate);GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Ashfield District Council;Vetlanda;SE;Local Government;S.1313;;;;;;;;;
Ashfield Homes Ltd;BORAS;SE;Former Central Government;S.1311;;;;;;;;;
Ashford Borough Council;VETLANDA;SE;Former Central Government;S.1311;1-Oct-12;Apr-13;;;;;;;
Ashworth Hospital Authority;VETLANDA;SE;Former Central Government;S.1311;1-Apr-08;Jun-12;;;;;;;
Asset Protection Agency;Local Government;S.1313;;;;;;;;;;;
Assets Recovery Agency;Local Government;S.1313;;;;;;;;;;;
Association of London Government;Local Government;S.1313;;;;;;;;;;;
Association of Port Health Authorities;Malmo;SE;Central Government;S.1311;;;;;;;;;
Association of Town Centre Management;Hovaas;SE;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016); ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991; these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation; ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations; with this decision effective from 2 December 2015.;;
Attorney General's Office;GOTEBORG;SE;Former Public Non-Financial Corporation;S.11001;31-Mar-15;Jan-16;The Audit Commission was closed on 31st March 2015 with its functions being taken on by Public Sector Appointments Ltd; National Audit Office; Financial Reporting Council and Cabinet Office;;;;
Auchmithie Harbour;GOTEBORG;SE;Public Pension Fund;S.12901;31-May-12;Feb-16;The Audit Commission Pension Scheme provides pensions and other benefits to former employees of the Audit Commission under a defined benefit scheme. The Scheme entered into a Crown Guarantee on 31 May 2012.  It was closed to new members at the end of March 2015 following the dissolution of the Audit Commission.  ONS assessed the Audit Commission crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the Audit Commission Pension Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) the Secretary of State for DCLG was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;;;;;;
Audit Commission;HOVAS;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Audit Commission Pension Scheme (The);Former Local Government;S.1313;1-Apr-14;Jun-14;;;;;;;;;
Audit Scotland;GOTEBORG;SE;Former Central Government;S.1311;;;;;;;;;
Averon Leisure Management Limited;GOTEBORG;SE;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016); ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991; these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation; ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations; with this decision effective from 2 December 2015.;;
Aviation Committee;VASTRA FROLUN;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Avoch Harbour;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
AWE [Atomic Weapons Establishment] Management Ltd;GOTEBORG;SE;Former Central Government;S.1311;;;;;;;;;
AWE [Atomic Weapons Establishment] Plc;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Aycliffe - (s NTC);Goteborg;SE;Local Government;S.1313;;;;;;;;;
Aylesbury Vale District Council;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Aylesham and District Community Workshop Trust;Goteborg;SE;Former Public Corporation;S.11001;;;;;;;;;
Babergh District Council;Goteborg;SE;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/03;1-Feb-13;Jun-15;;;;;;;
Baileyfield Switch and Crossing Works;DUBLIN;IE;Public Financial Corporation;S.121;;;;;;;;;
Bainsdown Ltd (s MA);KALLERED;SE;Public Pension Fund;S.12901;29-Oct-99;Mar-19;The Bank of England pension scheme is a defined benefit scheme which provides benefits for employees of the Bank of England. ONS has assessed the classification status of the scheme and has concluded that Bank of England Pension Fund Trustees Ltd. is the scheme's Pension Administrator; as it was created with the sole purpose of acting as the trustee for the scheme. As a majority of the trustees are appointed by the Bank of England (which is classified as a public financial corporation (S.121)); this has led to the trustees being classified within the Public Pension Funds subsector (S.12901) with effect from 29 October 1999; the date Bank of England Pension Fund Trustees Ltd. was incorporated. ONS has also determined that the Pension Manager is the Bank of England as it bears responsibility for the Scheme's policy and strategy; and ultimate responsibility for the scheme.;;
Bank of England;VESTRA FROLUN;SE;Former Public Financial Corporation;S.12201;1-Mar-14;Apr-14;;;;;;;
Bank of England Pension Scheme (also known as the Bank of England Pension Fund);MOLNDAL;SE;Public Financial Corporation;S.121;;;;;;;;;
Bank of Scotland plc;Local Government;S.1313;;;;;;;;;;;
Banking Department;VASTERAS;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Barbican Centre;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Barnet Homes Ltd;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Barnsley Metropolitan Borough Council;msbill.info;IE;Local Government;S.1313;;;;;;;;;
Barnstaple Port;g.co/helppay#;GB;Former Central Government;S.1311;1-May-09;Jun-12;;;;;;;
Barrow-in-Furness Borough Council;Goteborg;SE;Former Central Government;S.1311;;;;;;;;;
Basic Skills Agency;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Basildon - (s NTC);Local Government;S.1313;;;;;;;;;;;
Basildon Borough Council;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Basingstoke and Deane Borough Council;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Basingstoke Dial-a-Ride;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Bassetlaw District Council;Goteborg;SE;Former Public Non-Financial Corporation;S.11001;;;Sold on 1 August 2005 and reclassified to private sector. Subsequently renamed Red Bee media.;;;;;;
Bath and North East Somerset Council;Goteborg;SE;Central Government;S.1311;18-Jun-02;Nov-15;BBC Commercial Holdings Limited is the holding company for the British Broadcasting Corporation's (BBC) principal commercial subsidiary undertakings including BBC Worldwide Limited; BBC Global News Limited; and BBC Studios & Post Production Limited. The parent body of BBC Commercial Holdings Ltd is the BBC; which is classified in the Central Government subsector. BBC Commercial Holdings Limited is a public-controlled holding company and therefore; following the European System of Accounts 2010 ( ESA 2010) and accompanying 2014 Manual on Government and Deficit and Debt (MGDD) rules; is classified to the central government subsector; effective 18 June 2002.
BBC Broadcast;Goteborg;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Commercial Holdings Limited;GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC do Brazil Limitada (Brazil) (sWS);Goteborg;SE;Public Pension Fund;S.12901;1-Jun-49;Aug-16;The BBC Pension Scheme provides pensions and other benefits to employees of the British Broadcasting Corporation (BBC) and its subsidiaries under a defined benefit scheme.  ONS assessed the BBC Pension Scheme in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016). ONS concluded that (i) the BBC Pension Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) BBC was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;;;;;;
BBC East Asia Relay Company Ltd [Hong Kong] (s WS);JONKOPING;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Haymarket Exhibitions Ltd (50%) (sBBCW) (Associate);BOTTNARYD;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Magazines Inc. [USA] (s BBCW);BORAS;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Pension Scheme;GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Polska SP Zoo [Poland] (s WS);GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
BBC Radiocom (Bulgaria) OLLC [Bulgaria] (s WS);Goteborg;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Radiocom (Hungary) Ltd [Hungary] (s WS);NESSJO;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Radiocom (Praha) Sro [Czech Republic] (s WS);Public Non-Financial Corporation;S.11001;;;;;;;;;;;
BBC Radiocom (Romania) SRL [Romania] (s WS);Goteborg;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Radiocom (Slovakia) Ltd [Slovakia] (s WS);Goteborg;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC Radiocom Deutschland GmbH (Germany) (sWS);Public Non-Financial Corporation;S.11001;;;;;;;;;;;
BBC World Service (WS);Goteborg;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC World Service Television Ltd (s BBCW);Askim;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BBC World Service Training Trust (s WS);Goteborg;SE;Former Public Corporation;S.11001;;;;;;;;;
BBC Worldwide (France) SARL [France] (s BBCW);Goteborg;SE;Local Government;S.1313;;;;;;;;;
BBC Worldwide (Germany) GMBH [Germany] (s BBCW);Local Government;S.1313;;;;;;;;;;;
BBC Worldwide (Investments) Ltd (s BBCW);Local Government;S.1313;;;;;;;;;;;
BBC Worldwide Americas Inc.[USA] (s BBCW);Former Central Government;S.1311;1-Feb-15;Mar-15;;;;;;;;;
BBC Worldwide Channel Investment Ltd (s BBCW);Stockholm;SE;Local Government;S.1313;;;;;;;;;
BBC Worldwide Ltd (BBCW)- (s HS);Stockholm;SE;Former Central Government;S.1311;1-Dec-05;Jun-14;;;;;;;
BBC Worldwide Music Ltd (s BBCW);MOLNDAL;SE;Former Public Corporation;S.11001;;;;;;;;;
BCE Corporate Functions Ltd;KALLERED;SE;Local Government;S.1313;;;;;;;;;
